authors,description,hash,isbn10,isbn13,publication_date,site,tags,title,url,year
"['Stanley Lippman', 'Josée Lajoie', 'Barbara Moo']","Bestselling Programming Tutorial and Reference Completely Rewritten for the New C++11 Standard

Fully updated and recast for the newly released C++11 standard, this authoritative and comprehensive introduction to C++ will help you to learn the language fast, and to use it in modern, highly effective ways. Highlighting today’s best practices, the authors show how to use both the core language and its standard library to write efficient, readable, and powerful code.

C++ Primer, Fifth Edition, introduces the C++ standard library from the outset, drawing on its common functions and facilities to help you write useful programs without first having to master every language detail. The book’s many examples have been revised to use the new language features and demonstrate how to make the best use of them. This book is a proven tutorial for those new to C++, an authoritative discussion of core C++ concepts and techniques, and a valuable resource for experienced programmers, especially those eager to see C++11 enhancements illuminated.

Start Fast and Achieve More

Learn how to use the new C++11 language features and the standard library to build robust programs quickly, and get comfortable with high-level programming
Learn through examples that illuminate today’s best coding styles and program design techniques
Understand the “rationale behind the rules”: why C++11 works as it does
Use the extensive cross-references to help you connect related concepts and insights
Benefit from up-to-date learning aids and exercises that emphasize key points, help you to avoid pitfalls, promote good practices, and reinforce what you’ve learned

Access the source code for the extended examples from informit.com/title/0321714113

C++ Primer, Fifth Edition, features an enhanced, layflat binding, which allows the book to stay open more easily when placed on a flat surface. This special binding method—notable by a small space inside the spine—also increases durability.

Read more",a5ea2186c28e856f24804da1529d045e239b4a247abcb9d61c58a8562542256b,9780321714114,978-0321714114,"August 6, 2012",amazon,"['C++ Programming Language', 'Object-Oriented Design', 'Software Development']",C++ Primer (5th Edition),https://www.amazon.com/dp/0321714113,2012
['Bjarne Stroustrup'],"An Introduction to Programming by the Inventor of C++

Programming: Principles and Practice Using C++, Third Edition, will help anyone who is willing to work hard learn the fundamental principles of programming and develop the practical skills needed for programming in the real world. Previous editions have been used successfully by many thousands of students. This revised and updated edition

Assumes that your aim is to eventually write programs that are good enough for others to use and maintain
Focuses on fundamental concepts and techniques, rather than on obscure language-technical details
Is an introduction to programming in general, including procedural, object-oriented, and generic programming, rather than just an introduction to a programming language
Covers both contemporary high-level techniques and the lower-level techniques needed for efficient use of hardware
Will give you a solid foundation for writing useful, correct, type-safe, maintainable, and efficient code
Is primarily designed for people who have never programmed before, but even seasoned programmers have found previous editions useful as an introduction to more effective concepts and techniques
Covers a wide range of essential concepts, design and programming techniques, language features, and libraries
Uses contemporary C++ (C++20 and C++23)
Covers the design and use of both built-in types and user-defi ned types, complete with input, output, computation, and simple graphics/GUI
Offers an introduction to the C++ standard library containers and algorithms

Register your book for convenient access to downloads, updates, and/or corrections as they become available. See inside book for details.

Read more",2ca8736ac5f21065a6b33784d65ddab42329ff5ab14f43300a120e38aeccddc4,0138308683,978-0138308681,"April 22, 2024",amazon,"['Object-Oriented Software Design', 'C++ Programming Language', 'Object-Oriented Design']",Programming: Principles and Practice Using C++ (C++ In-depth),https://www.amazon.com/dp/0138308683,2024
['John Horton'],,9fabb9f104e4754bd1a248480ec3611623d950d0121bcdb0d966d09324365a6a,1838648577,978-1838648572,"October 31, 2019",amazon,"['C++ Programming Language', 'Game Programming', 'Introductory & Beginning Programming']","Beginning C++ Game Programming: Learn to program with C++ by building fun games, 2nd Edition",https://www.amazon.com/dp/1838648577,2019
['Tony Gaddis'],"For two-semester courses in the C++ programming sequence, or an accelerated one-semester course.

A clear and student-friendly way to teach the fundamentals of C++

Starting Out with C++: From Control Structures through Objectscovers control structures, functions, arrays,

and pointers before objects and classes in Tony Gaddis’s hallmark accessible, step-by-step presentation. His books help beginning students understand the important details necessary to become skilled programmers at an introductory level. Gaddis motivates the study of both programming skills and the C++ programming language by presenting all the details needed to understand the “how” and the “why”–but never losing sight of the fact that most beginners struggle with this material. His approach is gradual and highly accessible, ensuring that students understand the logic behind developing high-quality programs. As with all Gaddis texts, clear and easy-to-read code listings, concise and practical real-world examples, and an abundance of exercises appear in every chapter. Updates to the 9th Edition include revised, improved problems throughout and a new chapter featuring completely rewritten and expanded material on the Standard Template Library (STL).

Also Available with MyLab Programming.

MyLabTM Programming is an online learning system designed to engage students and improve results. MyLab Programming consists of programming exercises correlated to the concepts and objectives in this book. Through practice exercises and immediate, personalized feedback, MyLab Programming improves the programming competence of beginning students who often struggle with the basic concepts of programming languages.

Note: You are purchasing a standalone product; MyLabTM & MasteringTM does not come packaged with this content. Students, if interested in purchasing this title with MyLab & Mastering, ask your instructor for the correct package ISBN and Course ID. Instructors, contact your Pearson representative for more information.

If you would like to purchase both the physical text and MyLab & Mastering, search for:

0134544846 / 9780134544847 Starting Out with C++ from Control Structures to Objects Plus MyProgrammingLab with Pearson eText -- Access Card Package, 9/e

Package consists of:

0134484193 / 9780134484198 MyProgrammingLab with Pearson eText -- Access Card -- for Starting Out with C++ from Control Structures to Objects, 9/e
0134498372 / 9780134498379 Starting Out with C++ from Control Structures to Objects

Students can use the URL and phone number below to help answer their questions:

https://support.pearson.com/getsupport/s/

800-677-6337

Read more",80d2fef73b06301ee9c2e51ecd7c2daf4840afa370ece50b7de3d8da906d6139,9780134498379,978-0134498379,"February 13, 2017",amazon,"['C++ Programming Language', 'Computer Programming Languages']",Starting Out with C++ from Control Structures to Objects,https://www.amazon.com/dp/0134498372,2017
"['Paul Deitel', 'Harvey Deitel']","C++ How to Program presents leading-edge computing technologies in a friendly manner appropriate for introductory college course sequences, based on the curriculum recommendations of two key professional organizations–the ACM and the IEEE.

The best-selling C++ How to Program is accessible to readers with little or no programming experience, yet comprehensive enough for the professional programmer. The Deitels’ signature live-code approach presents the concepts in the context of full working programs followed by sample executions. The early objects approach gets readers thinking about objects immediately–allowing them to more thoroughly master the concepts. Emphasis is placed on achieving program clarity and building well-engineered software. Interesting, entertaining, and challenging exercises encourage students to make a difference and use computers and the Internet to work on problems. To keep readers up-to-date with leading-edge computing technologies, the Tenth Edition conforms to the C++11 standard and the new C++14 standard.


Read more",bf9cc4c9624e70aeb902c60b4098f5f17ed368f64dae87e29d05f49029350a83,9780134448237,978-0134448237,"February 29, 2016",amazon,"['C++ Programming Language', 'Computer Programming Languages']",C++ How to Program,https://www.amazon.com/dp/0134448235,2016
['Bjarne Stroustrup'],"In A Tour of C++, Third Edition, Bjarne Stroustrup provides an overview of ISO C++, C++20, that aims to give experienced programmers a clear understanding of what constitutes modern C++. Featuring carefully crafted examples and practical help in getting started, this revised and updated edition concisely covers most major language features and the major standard-library components needed for effective use.

Stroustrup presents C++ features in the context of the programming styles they support, such as object-oriented and generic programming. His tour is remarkably comprehensive. Coverage begins with the basics, then ranges widely through more advanced topics, emphasizing newer language features. This edition covers many features that are new in C++20 as implemented by major C++ suppliers, including modules, concepts, coroutines, and ranges. It even introduces some library components in current use that are not scheduled for inclusion in the standard until C++23.

This authoritative guide does not aim to teach you how to program (for that, see Stroustrup's Programming: Principles and Practice Using C++, Second Edition), nor will it be the only resource you'll need for C++ mastery (for that, see Stroustrup's The C++ Programming Language, Fourth Edition, and recommended online sources). If, however, you are a C or C++ programmer wanting greater familiarity with the current C++ language, or a programmer versed in another language wishing to gain an accurate picture of the nature and benefits of modern C++, you won't find a shorter or simpler introduction.
Read more",1b93bf19f83335db49b6af3fc2700565f80d42e1dabb44834b2c55a9ff4ad648,0136816487,978-0136816485,"September 24, 2022",amazon,"['C++ Programming Language', 'Object-Oriented Design', 'Computer & Technology Certification Guides']","Tour of C++, A (C++ In-Depth Series)",https://www.amazon.com/dp/0136816487,2022
"['Ivor Horton', 'Peter Van Weert']","Begin your programming journey with C++ , starting with the basics and progressing through step-by-step examples that will help you become a proficient C++ programmer. This book includes new features from the C++23 standard. All you need are Beginning C++23 and any recent C++ compiler and you'll soon be writing real C++ programs.
There is no assumption of prior programming knowledge. All language concepts that are explained in the book are illustrated with working program examples, and all chapters include exercises for you to test and practice your knowledge. Free source code downloads are provided for all examples from the text and solutions to the exercises.
This latest edition has been fully updated to the latest version of the language, C++23, and to all conventions and best practices of modern C++. This bookalso introduces elements of the C++ Standard Library that provide essential support for C++23. After completing this book, you will have the knowledge and skills needed to build your first C++ applications.
What You Will Learn
Begin programming with the C++23 standard
Carry out modular programming in C++
Work with arrays and loops, pointers and references, strings, and more
Write your own functions, types, and operators
Discover the essentials of object-oriented programming
Use overloading, inheritance, virtual functions, and polymorphism
Write generic function and class templates, and make them safer using concepts
Learn the ins and outs of containers, algorithms, and ranges
Use auto type declarations, exceptions, move semantics, lambda expressions, and much more
Who This Book Is For
Programmers new to C++ and those who may be looking for a refresh primer on C++ in general.
Read more",0e0feb4fcdab712ef8a2ea48b04d536c6f400c3eaea78ac994cdd7a79c085cae,1484293428,978-1484293423,"October 8, 2023",amazon,"['C++ Programming Language', 'Computer Programming Languages', 'Software Development']",Beginning C++23: From Beginner to Pro,https://www.amazon.com/dp/1484293428,2023
['Anthony J. Dos Reis'],"THERE IS AN UPDATED AND IMPROVED VERSION (THE SECOND EDITION) OF THIS BOOK.

This book provides the reader with an invaluable insight to C and C++ in particular and programming languages in general. Although the title suggests that the book has a narrow scope, in fact, just the opposite is the case: The book is an introduction to programming language design, object-oriented programming, assemblers, compilers, interpreters, linkers, computer architecture, and system programming--everything you need to know to be a master of C and C++. Included in the book are several well-defined system programming projects that support the material covered, including a machine interpreter implementation, an assembler implementation, and a linker implementation. The software package for the book supports Windows, OS X, Linux, and Raspbian.
Read more",07b17ffc1dcb1e74282749bac9a202ff6f157cf1a519e7246b27fe9cfbb4db68,1793302898,978-1793302892,"February 9, 2019",amazon,"['C Programming Language', 'C++ Programming Language', 'Computer Programming Languages']",C and C++ Under the Hood,https://www.amazon.com/dp/1793302898/,2019
['Peter Gottschling'],"Write Powerful, Modern C++ Code for Scientific, Engineering, and Embedded Applications

Discovering Modern C++, Second Edition, will help you master valuable skills for programming with C++ at nearly every level, from ""close to the hardware"" to high-level abstractions.

Updated for C++17 and C++ 20, this intensive introduction teaches C++ using realistic examples from diverse technical problem domains. Drawing on extensive experience teaching C++ to physicists, mathematicians, engineers, and students, Peter Gottschling guides you smoothly to sophisticated approaches based on advanced features.

Whatever your programming experience, you'll rapidly master increasingly powerful features, from lambdas to expression and variadic templates. Gottschling also shows you how to apply C++'s libraries: both the Standard Template Library (STL) and scientific libraries for arithmetic, linear algebra, differential equations, and graphs. Step by step, you'll learn to write clear and expressive code using object orientation, generics, metaprogramming, and procedural techniques, and master all the abstractions you need to write high-quality, well-performing software.

Quickly master core features: variables, operators, expressions, statements, functions, error handling, I/O, arrays, pointers, references, and more
Make the most of classes and object-oriented programming, from constructors/destructors to operator overloading and multiple inheritance
Apply advanced generic programming and template-based techniques
Use C++'s libraries to write more robust and powerful code more quickly
Explore metaprogramming in depth, and master cutting-edge optimization techniques
Walk through representative scientific projects, and create your own
Register your book for convenient access to downloads, updates, and/or corrections as they become available. See inside book for details.

Read more",6a89aa86805b08702de5479ce74a21f40eb2cfd518ff6d3413b573a61a0a5766,0136677649,978-0136677642,"December 17, 2021",amazon,"['C++ Programming Language', 'Computer Programming Languages', 'Microsoft Programming']",Discovering Modern C++ (C++ In-Depth Series),https://www.amazon.com/Discovering-Modern-Depth-Peter-Gottschling/dp/0136677649/,2021
"['Paul Deitel', 'Harvey Deitel']","C++ How to Program: An Objects-Natural Approach is a code-intensive, modular introduction to C++ programming. The Deitel live-code approach presents concepts using full working programs rather than code snippets so that you can immediately start to run programs as you read. Interesting, entertaining and challenging examples, exercises and projects help you see how what you're learning applies to real-world scenarios.

The 11th Edition presents new features of C++ 20 and even more hands-on application opportunities. Hundreds of new self-checks let you test your code and understanding of key concepts. New case studies and exercises focus on security, data science, ethics and more.

Read more",f301e829a17432e75e65b009dc14fb168e4276bbd4e6cd2a7d2336d9a24d60e1,,,"July 27, 2023",amazon,['Kindle eBooks'],C++ How to Program: An Objects-Natural Approach,https://www.amazon.com/dp/B0CF4TX8XG,2023
