url,site,error
https://www.amazon.com/Mastering-Playwright-Python-Advanced-Framework/dp/B0DC63ZQ6H/ref=sr_1_1?dib=eyJ2IjoiMSJ9.SXZRM8A5WAXoBPEInhsFJKr45Ce8OGLzS5grJ7_OekFvaUHTfDTRTmVOCsJBUQEcPtVmMcRMAgDO-fcb8ZqXvYe6GTzJqCzhETGbkkuqB70.1_8_IXoVZ2TPuQ61kyzmQbi1KDgNSrWdMB_wjTaAr4A&dib_tag=se&keywords=Playwright+Python&qid=1749045777&sr=8-1,amazon,Unknown error
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2Nzk1OTQzNTc0MjI0NDk5OjE3NDkwNDU3Nzc6c3BfYXRmOjIwMDA4MDgzODM1NjE5ODo6MDo6&url=%2FPython-Comprehensive-Guide-Hands-Programming%2Fdp%2F149322302X%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.SXZRM8A5WAXoBPEInhsFJKr45Ce8OGLzS5grJ7_OekFvaUHTfDTRTmVOCsJBUQEcPtVmMcRMAgDO-fcb8ZqXvYe6GTzJqCzhETGbkkuqB70.1_8_IXoVZ2TPuQ61kyzmQbi1KDgNSrWdMB_wjTaAr4A%26dib_tag%3Dse%26keywords%3DPlaywright%2BPython%26qid%3D1749045777%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,amazon,Unknown error
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2Nzk1OTQzNTc0MjI0NDk5OjE3NDkwNDU3Nzc6c3BfYXRmOjIwMDEyMDAyODM5MTc5ODo6MDo6&url=%2FPython-Crash-Course-Eric-Matthes%2Fdp%2F1718502702%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.SXZRM8A5WAXoBPEInhsFJKr45Ce8OGLzS5grJ7_OekFvaUHTfDTRTmVOCsJBUQEcPtVmMcRMAgDO-fcb8ZqXvYe6GTzJqCzhETGbkkuqB70.1_8_IXoVZ2TPuQ61kyzmQbi1KDgNSrWdMB_wjTaAr4A%26dib_tag%3Dse%26keywords%3DPlaywright%2BPython%26qid%3D1749045777%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,amazon,Unknown error
https://www.amazon.com/Fluent-Python-Concise-Effective-Programming/dp/1492056359/ref=sr_1_4?dib=eyJ2IjoiMSJ9.SXZRM8A5WAXoBPEInhsFJKr45Ce8OGLzS5grJ7_OekFvaUHTfDTRTmVOCsJBUQEcPtVmMcRMAgDO-fcb8ZqXvYe6GTzJqCzhETGbkkuqB70.1_8_IXoVZ2TPuQ61kyzmQbi1KDgNSrWdMB_wjTaAr4A&dib_tag=se&keywords=Playwright+Python&qid=1749045777&sr=8-4,amazon,Unknown error
https://www.amazon.com/Bootcamp-Dados-Playwright-Python-Streamlit-ebook/dp/B0DLNC9QXT/ref=sr_1_5?dib=eyJ2IjoiMSJ9.SXZRM8A5WAXoBPEInhsFJKr45Ce8OGLzS5grJ7_OekFvaUHTfDTRTmVOCsJBUQEcPtVmMcRMAgDO-fcb8ZqXvYe6GTzJqCzhETGbkkuqB70.1_8_IXoVZ2TPuQ61kyzmQbi1KDgNSrWdMB_wjTaAr4A&dib_tag=se&keywords=Playwright+Python&qid=1749045777&sr=8-5,amazon,Unknown error
https://www.amazon.com/Modern-Data-Architectures-Python-warehouses/dp/1801070490/ref=sr_1_6?dib=eyJ2IjoiMSJ9.SXZRM8A5WAXoBPEInhsFJKr45Ce8OGLzS5grJ7_OekFvaUHTfDTRTmVOCsJBUQEcPtVmMcRMAgDO-fcb8ZqXvYe6GTzJqCzhETGbkkuqB70.1_8_IXoVZ2TPuQ61kyzmQbi1KDgNSrWdMB_wjTaAr4A&dib_tag=se&keywords=Playwright+Python&qid=1749045777&sr=8-6,amazon,Unknown error
https://www.amazon.com/Playwrights-Guidebook-Insightful-Dramatic-Writing/dp/0571199917/ref=sr_1_7?dib=eyJ2IjoiMSJ9.SXZRM8A5WAXoBPEInhsFJKr45Ce8OGLzS5grJ7_OekFvaUHTfDTRTmVOCsJBUQEcPtVmMcRMAgDO-fcb8ZqXvYe6GTzJqCzhETGbkkuqB70.1_8_IXoVZ2TPuQ61kyzmQbi1KDgNSrWdMB_wjTaAr4A&dib_tag=se&keywords=Playwright+Python&qid=1749045777&sr=8-7,amazon,Unknown error
https://www.amazon.com/Python-Essentials-Always-Self-Learning-Management-ebook/dp/B0DGT3Y71Y/ref=sr_1_8?dib=eyJ2IjoiMSJ9.SXZRM8A5WAXoBPEInhsFJKr45Ce8OGLzS5grJ7_OekFvaUHTfDTRTmVOCsJBUQEcPtVmMcRMAgDO-fcb8ZqXvYe6GTzJqCzhETGbkkuqB70.1_8_IXoVZ2TPuQ61kyzmQbi1KDgNSrWdMB_wjTaAr4A&dib_tag=se&keywords=Playwright+Python&qid=1749045777&sr=8-8,amazon,Unknown error
https://www.amazon.com/Pythonesque-Oberon-Modern-Plays-Smiles/dp/1840029412/ref=sr_1_9?dib=eyJ2IjoiMSJ9.SXZRM8A5WAXoBPEInhsFJKr45Ce8OGLzS5grJ7_OekFvaUHTfDTRTmVOCsJBUQEcPtVmMcRMAgDO-fcb8ZqXvYe6GTzJqCzhETGbkkuqB70.1_8_IXoVZ2TPuQ61kyzmQbi1KDgNSrWdMB_wjTaAr4A&dib_tag=se&keywords=Playwright+Python&qid=1749045777&sr=8-9,amazon,Unknown error
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2Nzk1OTQzNTc0MjI0NDk5OjE3NDkwNDU3Nzc6c3BfbXRmOjMwMDYwMTU4MjgzMjcwMjo6MDo6&url=%2FOutlier-Detection-Python-Brett-Kennedy%2Fdp%2F1633436470%2Fref%3Dsr_1_10_sspa%3Fdib%3DeyJ2IjoiMSJ9.SXZRM8A5WAXoBPEInhsFJKr45Ce8OGLzS5grJ7_OekFvaUHTfDTRTmVOCsJBUQEcPtVmMcRMAgDO-fcb8ZqXvYe6GTzJqCzhETGbkkuqB70.1_8_IXoVZ2TPuQ61kyzmQbi1KDgNSrWdMB_wjTaAr4A%26dib_tag%3Dse%26keywords%3DPlaywright%2BPython%26qid%3D1749045777%26sr%3D8-10-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,amazon,Unknown error
