title,hash,isbn,authors,publication_year,category,url,description,tags,site
C++14,e39abab07f6d7103103c2d759ceba8c092e5d9c9206653f7ebfedf785b08423d,,[None],,Reference and ISO Standard,https://raw.githubusercontent.com/cplusplus/draft/master/papers/n4296.pdf,,[None],raw.githubusercontent.com
C++17,f4877e593048e86dd361d09722078abbcd4d5316d57813398b1bf6540fa10728,,[None],,Reference and ISO Standard,http://www.open-std.org/jtc1/sc22/wg21/docs/papers/2017/n4659.pdf,,[None],www.open-std.org
C++20,2bca0e904970d11b4ba4c2da794fd20b01b513d01d7c2fd5853c53591276e42b,,[None],,Reference and ISO Standard,https://isocpp.org/files/papers/N4860.pdf,,[None],isocpp.org
C++23,f122fcbb6125ef28cfdf3260c97c1e44074bb835761a357244195d872ab88a04,,[None],,Reference and ISO Standard,https://open-std.org/jtc1/sc22/wg21/docs/papers/2023/n4950.pdf,,[None],open-std.org
cppreference.com,ba3a8773627a33fe25b54f7f4152547c6414c1a18227a6bfd84f21ed02d59c06,,['and [offline version](https://en.cppreference.com/w/Cppreference:Archives'],,Reference and ISO Standard,https://en.cppreference.com/w/,,[None],en.cppreference.com
C++ Core Guidelines,f05817ce7cf9dfda456feb02fb57f09395ecaf8addd4f453fe48fcb257bd12f8,,[None],,Reference and ISO Standard,https://github.com/isocpp/CppCoreGuidelines/blob/master/CppCoreGuidelines.md,,[None],github.com
ISO C++ FAQ,4875abbf19ba19161761a0c5be47b083ab044911f87367444d8b31214271b26a,,[None],,Reference and ISO Standard,https://isocpp.org/faq,,[None],isocpp.org
C++ Primer 5th Edition,fb7de5c34a24a81a9dbb743ffe577181fe62369559980d447b0c7b11b14cf928,,['Stanley B. Lippman'],2012.0,Beginner to Programming,https://www.amazon.com/dp/0321714113,,[None],www.amazon.com
Programming: Principles and Practice Using C++ 3rd Edition,67ef06fd0670375e5a36a27fe0430a17cfe3b6e5f1c38559adf7d33db434b2a4,,['Bjarne Stroustrup'],2024.0,Beginner to Programming,https://www.amazon.com/dp/0138308683,,[None],www.amazon.com
Beginning C++ Through Game Programming 4th Edition,332dea5b5a34a945066811ea0d76733f5af0c18e479f3fe299c189167a2f18d5,,['Michael Dawson'],2014.0,Beginner to Programming,https://www.amazon.com/dp/B00LZW07P0,,[None],www.amazon.com
Beginning C++ Game Programming,fd6491f9640b6644f0eec2c0d7fba18fff885922f1eaad0ea99ef65f3b50abe7,,['John Horton'],2019.0,Beginner to Programming,https://www.amazon.com/dp/1838648577,,[None],www.amazon.com
Starting Out with C++ from Control Structures to Objects,763c6029cf02d0f4484e1ef2b7f3229ba949c58681c518a9887741aa9a743d1a,,['Tony Gaddis'],2017.0,Beginner to Programming,https://www.amazon.com/dp/0134498372,,[None],www.amazon.com
C++ How to Program 10th Edition,572df063bd5fcc8a53e4bd251071a573aa465c842faa10808d3ff1c224b0803d,,"['Paul Deitel', 'Harvey Deitel']",2016.0,Beginner to Programming,https://www.amazon.com/dp/0134448235,,[None],www.amazon.com
A Tour of C++ 3rd Edition,1bdbc4763ebc7c950dae43a0d14e491bcc634dfb4729d655a2bcf14c7caa5def,,['Bjarne Stroustrup'],2022.0,Beginner to C++,https://www.amazon.com/dp/0136816487,,[None],www.amazon.com
Beginning C++23,ddd6aa81674c374bfc4bb739579455c813a049702990130125b0ea6deb330c76,,"['Ivor Horton', 'Peter Van Weert']",2023.0,Beginner to C++,https://www.amazon.com/dp/1484293428,,[None],www.amazon.com
C and C++ Under the Hood,efa76c6cbd8c1777df6deafbfa1d839e5691f4fb360c3bc7637905e663bb3da5,,['Anthony J. Dos Reis'],2019.0,Beginner to C++,https://www.amazon.com/dp/1793302898/,,[None],www.amazon.com
